Date,SP500_Value
10/31/2014,2018.05
9/30/2014,1972.29
8/31/2014,2003.37
7/31/2014,1930.67
6/30/2014,1960.23
5/31/2014,1923.57
4/30/2014,1883.95
3/31/2014,1872.34
2/28/2014,1859.45
1/31/2014,1782.59
12/31/2013,1848.36
11/30/2013,1805.81
10/31/2013,1756.54
9/30/2013,1681.55
8/31/2013,1632.97
7/31/2013,1685.73
6/30/2013,1606.28
5/31/2013,1630.74
4/30/2013,1597.57
3/31/2013,1569.19
2/28/2013,1514.68
1/31/2013,1498.11
12/31/2012,1426.19
11/30/2012,1416.18
10/31/2012,1412.16
9/30/2012,1440.67
8/31/2012,1406.58
7/31/2012,1379.32
6/30/2012,1362.16
5/31/2012,1310.33
4/30/2012,1397.91
3/31/2012,1408.47
2/29/2012,1365.68
1/31/2012,1312.41
12/31/2011,1257.6
11/30/2011,1246.96
10/31/2011,1253.3
9/30/2011,1131.42
8/31/2011,1218.89
7/31/2011,1292.28
6/30/2011,1320.64
5/31/2011,1345.2
4/30/2011,1363.61
3/31/2011,1325.83
2/28/2011,1327.22
1/31/2011,1286.12
12/31/2010,1257.64
11/30/2010,1180.55
10/31/2010,1183.26
9/30/2010,1141.2
8/31/2010,1049.33
7/31/2010,1101.6
6/30/2010,1030.71
5/31/2010,1089.41
4/30/2010,1186.69
3/31/2010,1169.43
2/28/2010,1104.49
1/31/2010,1073.87
12/31/2009,1115.1
11/30/2009,1095.63
10/31/2009,1036.19
9/30/2009,1057.08
8/31/2009,1020.62
7/31/2009,987.48
6/30/2009,919.32
5/31/2009,919.14
4/30/2009,872.81
3/31/2009,797.87
2/28/2009,735.09
1/31/2009,825.88
12/31/2008,903.25
11/30/2008,896.24
10/31/2008,968.75
9/30/2008,1166.36
8/31/2008,1282.83
7/31/2008,1267.38
6/30/2008,1280
5/31/2008,1400.38
4/30/2008,1385.59
3/31/2008,1322.7
2/29/2008,1330.63
1/31/2008,1378.55
12/31/2007,1468.36
11/30/2007,1481.14
10/31/2007,1549.38
9/30/2007,1526.75
8/31/2007,1473.99
7/31/2007,1455.27
6/30/2007,1503.35
5/31/2007,1530.62
4/30/2007,1482.37
3/31/2007,1420.86
2/28/2007,1406.82
1/31/2007,1438.24
12/31/2006,1418.3
11/30/2006,1400.63
10/31/2006,1377.94
9/30/2006,1335.85
8/31/2006,1303.82
7/31/2006,1276.66
6/30/2006,1270.2
5/31/2006,1270.09
4/30/2006,1310.61
3/31/2006,1294.87
2/28/2006,1280.66
1/31/2006,1280.08
12/31/2005,1248.29
11/30/2005,1249.48
10/31/2005,1207.01
9/30/2005,1228.81
8/31/2005,1220.33
7/31/2005,1234.18
6/30/2005,1191.33
5/31/2005,1191.5
4/30/2005,1156.85
3/31/2005,1180.59
2/28/2005,1203.6
1/31/2005,1181.27
12/31/2004,1211.92
11/30/2004,1173.82
10/31/2004,1130.2
9/30/2004,1114.58
8/31/2004,1104.24
7/31/2004,1101.72
6/30/2004,1140.84
5/31/2004,1120.68
4/30/2004,1107.3
3/31/2004,1126.21
2/29/2004,1144.94
1/31/2004,1131.13
12/31/2003,1111.92
11/30/2003,1058.2
10/31/2003,1050.71
9/30/2003,995.97
8/31/2003,1008.01
7/31/2003,990.31
6/30/2003,974.5
5/31/2003,963.59
4/30/2003,916.92
3/31/2003,848.18
2/28/2003,841.15
1/31/2003,855.7
12/31/2002,879.82
11/30/2002,936.31
10/31/2002,885.76
9/30/2002,815.28
8/31/2002,916.07
7/31/2002,911.62
6/30/2002,989.82
5/31/2002,1067.14
4/30/2002,1076.92
3/31/2002,1147.39
2/28/2002,1106.73
1/31/2002,1130.2
12/31/2001,1148.08
11/30/2001,1139.45
10/31/2001,1059.78
9/30/2001,1040.94
8/31/2001,1133.58
7/31/2001,1211.23
6/30/2001,1224.38
5/31/2001,1255.82
4/30/2001,1249.46
3/31/2001,1160.33
2/28/2001,1239.94
1/31/2001,1366.01
12/31/2000,1320.28
11/30/2000,1314.95
10/31/2000,1429.4
9/30/2000,1436.51
8/31/2000,1517.68
7/31/2000,1430.83
6/30/2000,1454.6
5/31/2000,1420.6
4/30/2000,1452.43
3/31/2000,1498.58
2/29/2000,1366.42
1/31/2000,1394.46
12/31/1999,1469.25
11/30/1999,1388.91
10/31/1999,1362.93
9/30/1999,1282.71
8/31/1999,1320.41
7/31/1999,1328.72
6/30/1999,1372.71
5/31/1999,1301.84
4/30/1999,1335.18
3/31/1999,1286.37
2/28/1999,1238.33
1/31/1999,1279.64
12/31/1998,1229.23
11/30/1998,1163.63
10/31/1998,1098.67
9/30/1998,1017.01
8/31/1998,957.28
7/31/1998,1120.67
6/30/1998,1133.84
5/31/1998,1090.82
4/30/1998,1111.75
3/31/1998,1101.75
2/28/1998,1049.34
1/31/1998,980.28
12/31/1997,970.43
11/30/1997,955.4
10/31/1997,914.62
9/30/1997,947.28
8/31/1997,899.47
7/31/1997,954.31
6/30/1997,885.14
5/31/1997,848.28
4/30/1997,801.34
3/31/1997,757.12
2/28/1997,790.82
1/31/1997,786.16
12/31/1996,740.74
11/30/1996,757.02
10/31/1996,705.27
9/30/1996,687.33
8/31/1996,651.99
7/31/1996,639.95
6/30/1996,670.63
5/31/1996,669.12
4/30/1996,654.17
3/31/1996,645.5
2/29/1996,640.43
1/31/1996,636.02
12/31/1995,615.93
11/30/1995,605.37
10/31/1995,581.5
9/30/1995,584.41
8/31/1995,561.88
7/31/1995,562.06
6/30/1995,544.75
5/31/1995,533.4
4/30/1995,514.71
3/31/1995,500.71
2/28/1995,487.39
1/31/1995,470.42
12/31/1994,459.27
11/30/1994,453.69
10/31/1994,472.35
